timestamp,raw_value,attention,meditation,blink,label
1646609382.17104,-172,53,43,0,0
1646609382.176467,-145,53,43,0,0
1646609382.179664,-116,53,43,0,0
1646609382.181452,-147,53,43,0,0
1646609382.18321,-124,53,43,0,0
1646609382.183273,-22,53,43,0,0
1646609382.183352,61,53,43,0,0
1646609382.1834722,109,53,43,0,0
1646609382.18353,71,53,43,0,0
1646609382.183676,21,53,43,0,0
1646609382.1838698,74,53,43,0,0
1646609382.184036,176,53,43,0,0
1646609382.184143,253,53,43,0,0
1646609382.1841972,276,53,43,0,0
1646609382.184313,297,53,43,0,0
1646609382.184708,266,53,43,0,0
1646609382.184782,138,53,43,0,0
1646609382.184844,105,53,43,0,0
1646609382.1849,198,53,43,0,0
1646609382.1849742,221,53,43,0,0
1646609382.18505,160,53,43,0,0
1646609382.185318,112,53,43,0,0
1646609382.185417,123,53,43,0,0
1646609382.1855319,170,53,43,0,0
1646609382.185599,231,53,43,0,0
1646609382.1856651,283,53,43,0,0
1646609382.1857228,305,53,43,0,0
1646609382.185824,273,53,43,0,0
1646609382.185876,253,53,43,0,0
1646609382.185927,218,53,43,0,0
1646609382.1859798,172,53,43,0,0
1646609382.186034,169,53,43,0,0
1646609382.1860878,114,53,43,0,0
1646609382.186142,72,53,43,0,0
1646609382.1861959,153,53,43,0,0
1646609382.186253,263,53,43,0,0
1646609382.186738,276,53,43,0,0
1646609382.186812,208,53,43,0,0
1646609382.186899,120,53,43,0,0
1646609382.186961,84,53,43,0,0
1646609382.187017,66,53,43,0,0
1646609382.187072,-8,53,43,0,0
1646609382.187125,-98,53,43,0,0
1646609382.187178,-135,53,43,0,0
1646609382.187231,-165,53,43,0,0
1646609382.187284,-260,53,43,0,0
1646609382.187337,-295,53,43,0,0
1646609382.187393,-216,53,43,0,0
1646609382.187446,-106,53,43,0,0
1646609382.187499,-67,53,43,0,0
1646609382.187553,-36,53,43,0,0
1646609382.187605,-26,53,43,0,0
1646609382.187658,-55,53,43,0,0
1646609382.1877089,-41,53,43,0,0
1646609382.1877608,40,53,43,0,0
1646609382.187814,64,53,43,0,0
1646609382.187992,20,53,43,0,0
1646609382.1880682,12,53,43,0,0
1646609382.1881962,52,53,43,0,0
1646609382.212132,37,53,43,0,0
1646609382.217512,16,53,43,0,0
1646609382.217551,-29,53,43,0,0
1646609382.222705,-88,53,43,0,0
1646609382.222744,-101,53,43,0,0
1646609382.222775,-83,53,43,0,0
1646609382.228021,-43,53,43,0,0
1646609382.228058,-7,53,43,0,0
1646609382.2403939,86,53,43,0,0
1646609382.261975,129,53,43,0,0
1646609382.262014,56,53,43,0,0
1646609382.2782662,-59,53,43,0,0
1646609382.2783082,-97,53,43,0,0
1646609382.289828,-7,53,43,0,0
1646609382.2898738,58,53,43,0,0
1646609382.3054888,50,53,43,0,0
1646609382.305585,-11,53,43,0,0
1646609382.307297,-75,53,43,0,0
1646609382.315087,-120,53,43,0,0
1646609382.315148,-104,53,43,0,0
1646609382.3151948,-36,53,43,0,0
1646609382.3153322,-9,53,43,0,0
1646609382.315547,-12,53,43,0,0
1646609382.315665,8,53,43,0,0
1646609382.3157,68,53,43,0,0
1646609382.3159091,112,53,43,0,0
1646609382.316193,124,53,43,0,0
1646609382.3162298,184,53,43,0,0
1646609382.316261,218,53,43,0,0
1646609382.316292,170,53,43,0,0
1646609382.3163269,131,53,43,0,0
1646609382.3163579,135,53,43,0,0
1646609382.3163881,38,53,43,0,0
1646609382.3164191,-70,53,43,0,0
1646609382.316449,-54,53,43,0,0
1646609382.316479,20,53,43,0,0
1646609382.316509,53,53,43,0,0
1646609382.31654,-6,53,43,0,0
1646609382.31657,-82,53,43,0,0
1646609382.316601,-62,53,43,0,0
1646609382.316638,10,53,43,0,0
1646609382.316669,65,53,43,0,0
1646609382.3166988,35,53,43,0,0
1646609382.316729,41,53,43,0,0
1646609382.316759,77,53,43,0,0
1646609382.3168142,64,53,43,0,0
1646609382.316845,18,53,43,0,0
1646609382.316896,-44,53,43,0,0
1646609382.316937,-71,53,43,0,0
1646609382.316968,-53,53,43,0,0
1646609382.316998,-69,53,43,0,0
1646609382.3170292,-88,53,43,0,0
1646609382.31706,-33,53,43,0,0
1646609382.31709,102,53,43,0,0
1646609382.317121,149,53,43,0,0
1646609382.317151,66,53,43,0,0
1646609382.3171809,-1,53,43,0,0
1646609382.317211,4,53,43,0,0
1646609382.3172412,29,53,43,0,0
1646609382.317271,42,53,43,0,0
1646609382.317301,-1,53,43,0,0
1646609382.3173308,-24,53,43,0,0
1646609382.3173928,-1,53,43,0,0
1646609382.317431,65,53,43,0,0
1646609382.317462,52,53,43,0,0
1646609382.319285,85,53,43,0,0
1646609382.320597,152,53,43,0,0
1646609382.32177,82,53,43,0,0
1646609382.324332,-1,53,43,0,0
1646609382.325585,-22,53,43,0,0
1646609382.327299,-67,53,43,0,0
1646609382.3281112,-115,53,43,0,0
1646609382.3296971,-104,53,43,0,0
1646609382.331978,-18,53,43,0,0
1646609382.3342469,74,53,43,0,0
1646609382.3355331,76,53,43,0,0
1646609382.351846,37,53,43,0,0
1646609382.3529758,28,53,43,0,0
1646609382.3546848,85,53,43,0,0
1646609382.356828,152,53,43,0,0
1646609382.3582542,192,53,43,0,0
1646609382.358312,194,53,43,0,0
1646609382.358369,170,53,43,0,0
1646609382.35842,181,53,43,0,0
1646609382.35847,252,53,43,0,0
1646609382.358521,325,53,43,0,0
1646609382.359488,352,53,43,0,0
1646609382.3605819,300,53,43,0,0
1646609382.363071,162,53,43,0,0
1646609382.3643389,72,53,43,0,0
1646609382.3654919,56,53,43,0,0
1646609382.366718,61,53,43,0,0
1646609382.369268,65,53,43,0,0
1646609382.3712409,6,53,43,0,0
1646609382.373089,-84,53,43,0,0
1646609382.375633,-116,53,43,0,0
1646609382.3768792,-33,53,43,0,0
1646609382.3794959,58,53,43,0,0
1646609382.380518,106,53,43,0,0
1646609382.3830101,140,53,43,0,0
1646609382.3842618,162,53,43,0,0
1646609382.386952,118,53,43,0,0
1646609382.389282,39,53,43,0,0
1646609382.390489,20,53,43,0,0
1646609382.392546,50,53,43,0,0
1646609382.394537,43,53,43,0,0
1646609382.3968089,-17,53,43,0,0
1646609382.398032,-91,53,43,0,0
1646609382.4005098,-34,53,43,0,0
1646609382.4017122,85,53,43,0,0
1646609382.404382,67,53,43,0,0
1646609382.406822,39,53,43,0,0
1646609382.4080598,96,53,43,0,0
1646609382.410739,168,53,43,0,0
1646609382.4125261,114,53,43,0,0
1646609382.4143941,-21,53,43,0,0
1646609382.415547,-57,53,43,0,0
1646609382.4181209,-53,53,43,0,0
1646609382.420751,-60,53,43,0,0
1646609382.421855,-42,53,43,0,0
1646609382.431723,-53,53,43,0,0
1646609382.431812,-68,53,43,0,0
1646609382.431873,-26,53,43,0,0
1646609382.431929,5,53,43,0,0
1646609382.431985,-6,53,43,0,0
1646609382.433517,-35,53,43,0,0
1646609382.4355671,-23,53,43,0,0
1646609382.4393091,-3,53,43,0,0
1646609382.440543,-34,53,43,0,0
1646609382.4418318,-11,53,43,0,0
1646609382.44319,37,53,43,0,0
1646609382.4456918,51,53,43,0,0
1646609382.4480672,85,53,43,0,0
1646609382.44928,166,53,43,0,0
1646609382.450612,214,53,43,0,0
1646609382.454398,197,53,43,0,0
1646609382.4555259,184,53,43,0,0
1646609382.458076,101,53,43,0,0
1646609382.459306,35,53,43,0,0
1646609382.461379,72,53,43,0,0
1646609382.463062,87,53,43,0,0
1646609382.464391,69,53,43,0,0
1646609382.469291,80,53,43,0,0
1646609382.470567,154,53,43,0,0
1646609382.474464,261,53,43,0,0
1646609382.475897,321,53,43,0,0
1646609382.476959,245,53,43,0,0
1646609382.478231,96,53,43,0,0
1646609382.479224,33,53,43,0,0
1646609382.480531,97,53,43,0,0
1646609382.484288,87,53,43,0,0
1646609382.485715,5,53,43,0,0
1646609382.486954,-7,53,43,0,0
1646609382.489321,43,53,43,0,0
1646609382.4906151,109,53,43,0,0
1646609382.492352,200,53,43,0,0
1646609382.4969049,228,53,43,0,0
1646609382.498088,184,53,43,0,0
1646609382.4993029,83,53,43,0,0
1646609382.568574,32,53,43,0,0
1646609382.569421,67,53,43,0,0
1646609382.58573,54,53,43,0,0
1646609382.586765,12,53,43,0,0
1646609382.5934012,74,53,43,0,0
1646609382.5934641,256,53,43,0,0
1646609382.5935202,269,53,43,0,0
1646609382.593573,155,53,43,0,0
1646609382.5938618,135,53,43,0,0
1646609382.5940769,198,53,43,0,0
1646609382.5941389,251,53,43,0,0
1646609382.594195,265,53,43,0,0
1646609382.5942469,280,53,43,0,0
1646609382.594301,309,53,43,0,0
1646609382.5943968,364,53,43,0,0
1646609382.594466,377,53,43,0,0
1646609382.5945868,343,53,43,0,0
1646609382.594652,326,53,43,0,0
1646609382.5947058,295,53,43,0,0
1646609382.594761,299,53,43,0,0
1646609382.594811,314,53,43,0,0
1646609382.5948632,299,53,43,0,0
1646609382.5949051,273,53,43,0,0
1646609382.5949361,281,53,43,0,0
1646609382.5949671,308,53,43,0,0
1646609382.594997,326,53,43,0,0
1646609382.595027,328,53,43,0,0
1646609382.595056,289,53,43,0,0
1646609382.595087,213,53,43,0,0
1646609382.595117,162,53,43,0,0
1646609382.59518,170,53,43,0,0
1646609382.595273,184,53,43,0,0
1646609382.595329,173,53,43,0,0
1646609382.595371,194,53,43,0,0
1646609382.595401,230,53,43,0,0
1646609382.5954309,235,53,43,0,0
1646609382.5954618,228,53,43,0,0
1646609382.5954921,230,53,43,0,0
1646609382.595585,216,53,43,0,0
1646609382.595616,179,53,43,0,0
1646609382.595646,132,53,43,0,0
1646609382.595677,108,53,43,0,0
1646609382.595715,160,53,43,0,0
1646609382.595746,163,53,43,0,0
1646609382.595776,150,53,43,0,0
1646609382.595806,146,53,43,0,0
1646609382.598043,105,53,43,0,0
1646609382.599324,74,53,43,0,0
1646609382.59936,90,53,43,0,0
1646609382.599394,76,53,43,0,0
1646609382.600506,70,53,43,0,0
1646609382.602272,98,53,43,0,0
1646609382.6042418,26,53,43,0,0
1646609382.605483,-17,53,43,0,0
1646609382.608089,-13,53,43,0,0
1646609382.609687,-19,53,43,0,0
1646609382.6110342,-35,53,43,0,0
1646609382.611778,-42,53,43,0,0
1646609382.615585,-10,53,43,0,0
1646609382.6168,6,53,43,0,0
1646609382.6206741,-53,53,43,0,0
1646609382.62193,-72,53,43,0,0
1646609382.623042,-49,53,43,0,0
1646609382.624253,-56,53,43,0,0
1646609382.625547,-55,53,43,0,0
1646609382.6276789,-70,53,43,0,0
1646609382.629429,-85,53,43,0,0
1646609382.6305149,-130,53,43,0,0
1646609382.6343,-171,53,43,0,0
1646609382.6355479,-161,53,43,0,0
1646609382.636725,-167,53,43,0,0
1646609382.639284,-206,53,43,0,0
1646609382.640535,-174,53,43,0,0
1646609382.644319,-150,53,43,0,0
1646609382.645568,-164,53,43,0,0
1646609382.6470761,-203,53,43,0,0
1646609382.6484249,-183,53,43,0,0
1646609382.651909,-170,53,43,0,0
1646609382.653028,-229,53,43,0,0
1646609382.65454,-258,53,43,0,0
1646609382.659091,-226,53,43,0,0
1646609382.659156,-118,53,43,0,0
1646609382.6605818,-37,53,43,0,0
1646609382.6617799,-58,53,43,0,0
1646609382.6647449,-78,53,43,0,0
1646609382.6656482,-13,53,43,0,0
1646609382.669427,23,53,43,0,0
1646609382.6708422,9,53,43,0,0
1646609382.672171,-42,53,43,0,0
1646609382.7426372,-26,53,43,0,0
1646609382.745069,21,53,43,0,0
1646609382.746351,22,53,43,0,0
1646609382.7556229,2,53,43,0,0
1646609382.756834,2,53,43,0,0
1646609382.766537,36,53,43,0,0
1646609382.7667341,123,53,43,0,0
1646609382.766803,214,53,43,0,0
1646609382.766838,229,53,43,0,0
1646609382.76687,209,53,43,0,0
1646609382.766905,196,53,43,0,0
1646609382.7670531,120,53,43,0,0
1646609382.767106,70,53,43,0,0
1646609382.767185,120,53,43,0,0
1646609382.7672691,197,53,43,0,0
1646609382.7675772,235,53,43,0,0
1646609382.7678049,187,53,43,0,0
1646609382.7679,117,53,43,0,0
1646609382.76798,77,53,43,0,0
1646609382.7681558,131,53,43,0,0
1646609382.768312,244,53,43,0,0
1646609382.768354,292,53,43,0,0
1646609382.768394,316,53,43,0,0
1646609382.768512,269,53,43,0,0
1646609382.768546,186,53,43,0,0
1646609382.768578,209,53,43,0,0
1646609382.768609,314,53,43,0,0
1646609382.76864,356,53,43,0,0
1646609382.7686698,297,53,43,0,0
1646609382.7687008,215,53,43,0,0
1646609382.7687309,181,53,43,0,0
1646609382.768762,133,53,43,0,0
1646609382.7687922,39,53,43,0,0
1646609382.7688231,-2,53,43,0,0
1646609382.768853,32,53,43,0,0
1646609382.768883,90,53,43,0,0
1646609382.768914,120,53,43,0,0
